teks,kategori
"Lapor pak, Got depan rumah warga Baleendah merendam rumah warga setinggi paha anak sekolah ga bisa lewat. tolong buatin tanggul darurat pa kades",Sampah/Banjir
"Parah banget Drainase pemukiman sekitar Ujungberung airnya item pekat dan berbau busuk, bau busuk kecium sampe radius 300 meter tolong segera ditindak",Sampah/Banjir
"Warga Pameungpeuk ngeluh Pemuda mabuk-mabukan berkeliaran bawa senjata tajam / cerulit, dampaknya pedagang kecil rugi diperas terus, plis tertibkan balap liar pak polisi",Keamanan/Ketertiban
"mohon pasang lampu jalan dan cctv di titik rawan, Sound horeg hajatan di Tegalluar udah maksa minta uang keamanan k pedagang kecil bikin korban mengalami luka sabetan sajam",Keamanan/Ketertiban
"Jembatan kecil di Rancaekek retak, warga takut lewat apalagi motor",Jalan Rusak
"Pungutan liar oknum d Sapan sering lempar batu dan botol kaca, korban mengalami luka sabetan sajam, plis tertibkan balap liar pak polisi",Keamanan/Ketertiban
"Sampah di TPS di Pasirjambu menggunung udah berminggu-minggu ga diangkut, akses jalan lumpuh total ga bisa lewat mtr, minta bantuan pompa air sedot banjir min",Sampah/Banjir
"Jembatan kecil di Nagre rusak kena kikis air comberan, bahaya bgt buat anak2 sekolah, minta tolong segera di hotmix",Jalan Rusak
"Lapor pak, Tikungan jalan Gedebage rusak berat gak dibenerin warga was2 tiap lewat apalagi pas ujan. pliss segera di tindaklanjuti pa",Jalan Rusak
Warga lansia di kampung saya belum dapat bantuan sama sekali,Bansos
"Warga Soreang ngeluh Kartu Sembako Murah salah sasaran yg mampu dan bermobil malah dapet, dampaknya warga miskin beneran cuma bsa gigit jari, tolong bantu proses pencairan kartu saya min",Bansos
"Warga Pangalengan ngeluh Tikungan jalan bolong dalem banget, dampaknya bikin motor sering jatoh tiap malem, minta tlg segera di hotmix",Jalan Rusak
Min tlg Pemuda mabuk-mabukan daerah Ibun beraksi pas subuh warga lagi sholat sampe anak balita kaget nangis kebangun,Keamanan/Ketertiban
"Pendataan bansos ga akurat, banyak yg mampu malah masuk daftar",Bansos
"Warga Banjaran ngeluh Geng motor ugal-ugalan makin marak dan meresahkan warga, dampaknya banyak kehilangan motor dlm sepekan, tangkap dan tindak oknum preman meresahkan",Keamanan/Ketertiban
"Warga Solokan Jeruk ngeluh Pencairan dana bansos di kantor pos/bank salah sasaran yg mampu dan bermobil malah dapet, dampaknya warga sakit ga bisa berobat krn KIS dinonaktifkan, tlg bantu proses pencairan kartu saya min",Bansos
"Lapor pak, Aksi begal bersenjata Kopo maksa minta uang keamanan ke pedagang kecil warga takut keluar rumah malem hari. tolong pos kamling diaktifkan lagi",Keamanan/Ketertiban
"Tikungan jalan di Cileunyi retak-retak parah, bikin velg motor peang dan ban bocor, pliss segera di tindaklanjuti pa",Jalan Rusak
"mohon pasang lampu jalan dan cctv di titik rawan, Geng mtr ugal-ugalan di Bojongmalaka udah neror anak-anak sekolah pas pulang bikin pedagang kecil rugi diperas terus",Keamanan/Ketertiban
"Warga Tegalluar ngeluh Knalpot brong bising terjadii terus tiap malam minggu, dampaknya warga jadi was-was dan ga tenang, min tolong sampaikan ke babinsa/bhabinkamtibmas",Keamanan/Ketertiban
"Parah banget Aksi begal bersenjata sekitar Banjaran makin marak dan meresahkan warga, lingkungan jadi rawan kriminal plis segera ditindak",Keamanan/Ketertiban
Min tolong Kartu Indonesia Sehat (KIS PBI) daerah Rancamanyar aplikasi pendaftaran bansos error dan gbs login sampe warga ngeluh ga ada transparansi,Bansos
"Pencairan dana bansos d kantor pos/bank d Margahayu proses birokrasinya dipersulit petugas kelurahan, uang bantuan berkurang banyak kepotong pungli, tolong usut tuntas pungli bantuan sosial ini",Bansos
Min plis Aksi begal bersenjata daerah Bojongmalaka terjadi terus tiap malam minggu sampe warga takut keluar rumah malem hari,Keamanan/Ketertiban
Min tlong Pintu air daerah Cimenyan baunya nusuk hidung bikin enek sampe warga terpaksa ngungsi ke mushola,Sampah/Banjir
"Warga Pameungpeuk ngeluh Pungutan liar oknum maksa minta uang keamanan ke pedagang kecil, dampaknya anak balita kaget nangis kebangun, tolong pos kamling diaktifkan lagi",Keamanan/Ketertiban
Kartu bansos hilang tapi ga bisa diurus penggantiannya di kelurahan,Bansos
"Parah banget Paving block jalan sekitar Majalaya bolong dalem banget, warga was2 tiap lewat apalagi pas ujan tolong segera ditindak",Jalan Rusak
Ada indikasi peredaran narkoba di lingkungan RT sebelah,Keamanan/Ketertiban
"jangan nunggu ada korban jiwa baru dibenerin, Jalan dekat pasar d Gedebage udah berlubang parah bikin warga was2 tiap lewat apalagi pas ujan",Jalan Rusak
Min tolongg Aksi curanmor daerah Majalaya neror anak-anak sekolah pas pulang sampe warga takut keluar rmh malem hari,Keamanan/Ketertiban
"Parah banget Sungai/kali sekitar Majalaya mampet total gara-gara plastik dan sampah, bikin warga gatal-gatal dan batuk tolong segera ditindak",Sampah/Banjir
"Lapor pak, Kartu Keluarga Sejahtera (KKS) Cicalengka ada pemotonga dana sepihak oleh oknum RT/RW warga ngeluh ga ada transparansi. mohon kades/lurah tindak tegas oknum yg motong",Bansos
"tlg usut tuntas pungli bantuan sosial ini, Kartu Indonesia Sehat (KIS PBI) di Paseh udah aplikasi pendaftaran bansos error dan gbs login bikin lansia kurang mampu kesulitan beli beras",Bansos
"Pencairan dana bansos d kantor pos/bank d Cikoneng kualitas beras berkutu, apek dan hancur, korban PHK ga dapet perhatian sama sekali, mohon penyaluran bansos dilakukan secara transparan",Bansos
"Lapor pak, Penyaluran berass bansos Cimenyan warga difabel/lansia terlewat ga didata warga ngeluh ga ada transparansi. plis bantu proses pencairan kartu saya min",Bansos
Min plis Jalur tanjakan daerah Ibun licin dan banyak kerikil tajam sampe bikin velg motor peang dan ban bocor,Jalan Rusak
Min plis Got depan rumah warga daerah Rancamanyar bikin bau comberan masuk k kamar sampe barang elektronik pada rusak kerendem,Sampah/Banjir
Min tolong Aksi tawuran remaja daerah Pasirjambu makin marak dan meresahkan warga sampe pedagang kecil rugi diperas terus,Keamanan/Ketertiban
"Parah banget Jalan gang sekitar Cibiru retak-retak parah, angkot ga mau lewat situ lg tolong segera ditindak",Jalan Rusak
"Lapor pak, Jalan raya Paseh bolong dalem bngt warga was2 tiap lewat apalagi pas ujan. plis dinas pupr segera aspal ulang",Jalan Rusak
Warga takut keluar malam karena banyak kejadian curanmor,Keamanan/Ketertiban
Banjir bikin akses jalan ke sekolah anak jadi ga bisa dilewati,Sampah/Banjir
Min tolong Jembatan kecil daerah Manggahang retak-retak parah sampe warga was2 tiap lewat apalagi pas ujan,Jalan Rusak
"Parah banget Kartu Sembako Murah sekitar Solokan Jeruk saldo d kartu e-warong kosong melompong, warga sakit ga bsa berobat krn KIS dinonaktifkan tlong segera ditindak",Bansos
Aksi corat-coret dan perusakan fasilitas umum makin sering terjadi,Keamanan/Ketertiban
"tolong verifikasi lapangan langsung ke rumah warga, Pencairan dana bansos d kantor pos/bank d Cangkuang udah proses birokrasinya dipersulit petugas kelurahan bikin warga ngeluh ga ada transparansi",Bansos
Min tolong Air selokan daerah Baleendah mampet total gara-gara plastik dan sampah sampe bikin lingkungan kumuh dan bau menyengat,Sampah/Banjir
"Lapor pak, Judi online slot Rancaekek sering lempar batu dan botol kaca lingkungan jadi rawan kriminal. mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
Min tolong Got depan rumah warga daerah Ciparay ga surut-surut udah 3 hari sampe banyak nyamuk DBD,Sampah/Banjir
"Warga Paseh ngeluh Bantuan modal UMKM aplikasi pendaftaran bansos erro dan gbs login, dampaknya anak yatim ga bsa beli perlengkapan sekolah, tolong usut tuntas pungli bantuan sosial ini",Bansos
"Parah banget Pencurian rmh kosong sekitar Sapan terjadi terus tiap malam minggu, warga takut keluar rmh malem hari tolong segera ditindak",Keamanan/Ketertiban
"Tempat sampah umum udah penuh dan rusak, sampah berserakan kemana2",Sampah/Banjir
"Lapor pak, Sungai/kali Cicalengka bikin bau comberan masuk ke kamar akses jalan lumpuh total ga bisa lewat muntor. tolong armada truk sampah segera dateng",Sampah/Banjir
"Jalan desa di Cangkuang rusak berat gak dibenerin, angkot ga mau lewat situ lg, min tolong sampaika ke dinas terkait",Jalan Rusak
"Warga Rancaekek ngeluh Aksi curanmor beraksi pas subuh warga lagi sholat, dampaknya anak balita kaget nangis kebangun, mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
"Warga Cilengkrang ngeluh Paving block jalan amblas separuh badan, dampaknya bikin velg motor peang dan ban bocor, jangan nunggu ada korban jiwa baru dibenerin",Jalan Rusak
Min tlg Banjir tahunan daerah Cileunyi lumpur sedimennya udah tebel bgt sampe muntor mogok massal pas nekat nerobos,Sampah/Banjir
"Pelecehan / catcalling d Paseh nongkrong d pos ronda sambil nenggak ciu, anak balita kaget nangis kebangun, tolong polres dan polsek rutin patroli malam",Keamanan/Ketertiban
Bansos PKH saya diblokir tiba-tiba tanpa pemberitahuan sebelumnya,Bansos
"Lapor pak, Tikungan jalan Paseh banyak jeglongan sewu warga was2 tiap lewat apalagi pas ujan. jangan nunggu ada korban jiwa baru dibenerin",Jalan Rusak
"Warga Rancamanyar ngeluh Jalan komplek retak-retak parah, dampaknya bikin macet parah tiap pagi, kapan mau ditambal min?",Jalan Rusak
"Warga Kutawaringin ngeluh Pemuda mabuk-mabukan nyolong barang warga secara beruntun, dampaknya warga takut keluar rumah malem hari, tolong pos kamling diaktifkan lagi",Keamanan/Ketertiban
Min tolong Sampah di TPS daerah Katapang tanggulnya rembes dan bocor sampe bikin lingkungan kumuh dan bau menyengat,Sampah/Banjir
"Warga Dayeuhkolot ngeluh Air selokan airnya item pekat dan berbau busuk, dampaknya banyak nyamuk DBD, mohon dinas lingkungan hidup turun tangan",Sampah/Banjir
"Lapor pak, Akses jalan masuk Cileunyi ancur lebur angkot ga mau lewat situ lg. mohon pak bupati gercep benerin",Jalan Rusak
"Pencurian rumah kosong di Bojongmalaka maksa minta uang keamanan ke pedagang kecil, warga jadi was-was dan ga tenang, tangkap dan tindak oknum preman meresahkan",Keamanan/Ketertiban
"tlong bantu proses pencairan kartu sy min, Bansos PKH dan BPNT di Tegalluar udah keluarga dan timses kades diprioritaskan bikin anak yatim ga bisa beli perlengkapan sekolah",Bansos
"Lapor pak, Jalan utama Arjasari berlubang parah bikin macet parah tiap pagi. minta tolong segera d hotmix",Jalan Rusak
"tlg buatin tanggul darurat pa kades, Tumpukan sampah liar di Pasirjambu udah bikin bau comberan masuk ke kamarr bikin warga terpaksa ngungsi ke mushola",Sampah/Banjir
"Lapor pak, Jln protokol Pasirjambu berlubang parahh bahaya bgt buat anak2 sekolah. min tolong sampaikan ke dinas terkait",Jalan Rusak
"Kartu Indonesia Sehat (KIS PBI) di Nagreg aplikasi pendaftaran bansos error dan gbs login, lansia kurang mampu kesulitan beli beras, mohon penyaluran bansos dilakukan secara transparan",Bansos
"mohon dinas lingkungan hidup turun tangan, Tumpukan sampah liar di Sapan udah meluap ke jalan tiap ujan lebat bikin banyak nyamuk DBD",Sampah/Banjir
Min tlong Got depan rumah warga daerah Soreang menggunung udah berminggu-minggu ga diangkut sampe mtr mogok massal pas nekat nerobos,Sampah/Banjir
"Parah bngt Bantuan bedah rumah rutilahu sekitar Katapang aplikasi pendaftaran bansos error dan gbs login, uang bantuan berkurang banyak kepotong pungl tolong segera ditindak",Bansos
Warung remang-remang buka sampai larut ganggu ketertiban lingkungan,Keamanan/Ketertiban
"Lapor pak, Pencurian rumah kosong Cibiruu nongkrong di pos ronda sambil nenggak ciu warga jadi was-was dan ga tenang. plis pos kamling diaktifkan lagi",Keamanan/Ketertiban
"Warga Gedebage ngeluh Maling jemura dan gas lpg beraksi pas subuh warga lagi sholat, dampaknya warga takut keluar rmh malem hari, tlg pos kamling diaktifkan lagi",Keamanan/Ketertiban
"Pintu air d Kutawaringin merendam rumah warga setinggi paha, aksess jalan lumpuh total ga bs lewat motor, minta bantuan pompa air sedot banjir min",Sampah/Banjir
"Parah banget Banjir tahunan sekitar Gedebage penuh belatung dan lalat hijau, bau busuk kecium sampe radius 300 meter tolong segera ditindak",Sampah/Banjir
"Bantuan sembako bulan ini kualitasnya jelek, berasnya banyak kutu",Bansos
"Warga Kopo ngeluh Saluran air induk airnya item pekat dan berbau busuk, dampaknya bau busuk kecium sampe radius 300 meter, tolong armada truk sampah segera dateng",Sampah/Banjir
"Lapor pak, Banjir tahunan Ciwidey menggunung udah berminggu-minggu ga diangkut banyak nyamuk DBD. tolong keruk selokan min",Sampah/Banjir
"Parah banget Sound horeg hajatan sekitar Rancamanyar terjadi terus tiap malam minggu, banyak kehilangan motor dlm sepekan tlong segera ditindak",Keamanan/Ketertiban
Warga resah dengan aksi vandalisme coret-coret tembok tiap malam,Keamanan/Ketertiban
"mohon pasang lampu jalan dan cctv di titik rawan, Pungutan liar oknum di Cimenyan udah bikin suara bising ga bisa tidur tiap mlem bikin pengendara muntor cewek takut lewat situ",Keamanan/Ketertiban
"Warga Dayeuhkolot ngeluh Jalan komplek bolong dalem banget, dampaknya angkot ga mau lewat situ lg, mohon pak bupati gercep benerin",Jalan Rusak
"Jalan dekat pom bensin berlubang dalem banget, udah ada yg jatuh",Jalan Rusak
Jembatan penghubung antar RW retak2 warga khawatir kalo dilewatin motor byk,Jalan Rusak
"mohon pak bupati gercep benerin, Jalan raya d Cangkuang udah amblas separuh badan bikin shockbreaker motor jebol",Jalan Rusak
"butuh perahu karet buat evakuas warga, Drainase pemukiman di Ciwidey udah ga surut-surut udah 3 hari bikin bikin warga gatal-gatal dan batuk",Sampah/Banjir
"Warga Gedebage ngeluh Aspal jalan retak-retak parah, dampaknya angkot ga mau lewat situ lg, pliss segera di tindaklanjuti pa",Jalan Rusak
"Parah banget Pencairan dana bansos d kantor pos/bank sekitar Kopo warga difabel/lansia terlewat ga didata, lansia kurang mampu kesulitan beli beras tolong segera ditindak",Bansos
"Parah banget Balap liar tengah malam sekitar Cicalengka neror anak-anak sekolah pas pulang, anak balita kaget nangis kebangun plis segeraa ditindak",Keamanan/Ketertiban
Jln menuju kecamatan Ciwidey byk lubang gede udah brp kali motor org jatoh,Jalan Rusak
"Parah banget Knalpot brong bising sekitar Ibun beraksi pas subuh warga lagi sholat, banyak kehilangan muntor dlm sepekan plis segera ditindak",Keamanan/Ketertiban
Lampu jalan mati total bikin gang rawan begal tiap malam,Keamanan/Ketertiban
"Min plis Kartu Indonesia Sehat (KIS PBI) daerah Cangkuang kualitas beras berkutu, apek dan hancur sampe lansia kurang mampu kesulitan beli beras",Bansos
"Lapor pak, Pemuda mabuk-mabukan Cileunyi nongkrong di pos ronda sambil nenggak ciu warga jadi was-was dan ga tenang. tangkap dan tindak oknum preman meresahkan",Keamanan/Ketertiban
"plis tertibkan balap liar pak polisi, Geng motor ugal-ugalan di Cimenyan udah maksa minta uang keamanan k pedagang kecil bikin anak balita kaget nangis kebangun",Keamanan/Ketertiban
"min tolong sampaikan ke babinsa/bhabinkamtibmas, Preman pasar di Majalaya udah neror anak-anak sekolah pas pulang bikin warga jadi was-was dan ga tenang",Keamanan/Ketertiban
"Lapor pak, Bansos PKH dan BPNT Paseh proses birokrasinya dipersulit petugas kelurahan korban PHK ga dapet perhatian sama sekali. plis dinas sosial audit ulang data penerima",Bansos
Min tolong Drainase pemukiman daerah Dayeuhkolot bikin bau comberan masuk ke kamar sampe mtr mogok massal pas nekat nerobos,Sampah/Banjir
"Warga Kutawaringin ngeluh Pencairan dana bansos di kantor pos/bank ada pemotongan dana sepihak oleh oknum RT/RW, dampaknya warga miskin beneran cuma bs gigit jari, tlong dinas sosial audit ulang data penerima",Bansos
"Sungai/kali d Cilengkrang merendam rumah warga setinggi paha, motor mogok massal pas nekat nerobos, tolong pak camat segera tinjau lokasi",Sampah/Banjir
"Parah banget Bantuan bedah rumah rutilahu sekitar Margahayu saldo di kartu e-warong kosong melompong, warga miskin beneran cuma bsa gigit jari tolong segera ditindak",Bansos
"Jembatan kecil di Ibun amblas separuh badan, shockbreaker motor jebol, tolong dinas pupr segera aspal ulang",Jalan Rusak
"Warga Baleendah ngeluh Maling jemuran dan gas lpg makin marak dan meresahkan warga, dampaknya pedagang kecil rugi diperas terus, tangkap dan tindak oknum preman meresahkan",Keamanan/Ketertiban
"Sampah di TPS di Pangalengan tanggulnya rembes dan bocor, bikin warga gatal-gatal dan batuk, tlong armada truk sampah segera dateng",Sampah/Banjir
"tolong dinas sosial audit ulang data penerima, Bansos PKH dan BPNT d Cicalengka udah nama dicoret tiba-tiba padahal miskin bikin anak yatim ga bisa beli perlengkapan sekolah",Bansos
"Parah bngt Balap liar tengah mlm sekitar Kutawaringin terjadi terus tiap mlm minggu, pedagang kecil rugi diperas terus plis segera ditindak",Keamanan/Ketertiban
"Data Terpadu Kesejahteraan Sosial (DTKS) di Pangalengan nama dicoret tiba-tiba padahal miskin, lansia kurang mampu kesulitan beli beras, tolong dinas sosial audit ulang data penerima",Bansos
"Warga Arjasari ngeluh Geng motor ugal-ugalan berkeliaran bawa senjata tajam / cerulit, dampaknya warga jadi was-was dan ga tenang, mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
"Lapor pak, Penyaluran beras bansos Cileunyi kualitas beras berkutu, apek dan hancur lansia kurang mampu kesulitan beli beras. tolong usut tuntas pungli bantuan sosial ini",Bansos
"kapan mau ditambal min?, Paving block jalan di Kutawaringin udah ancur lebur bikin udh brp kali ada korban kecelakaan",Jalan Rusak
"Kartu Keluarga Sejahtera (KKS) di Rancamanyar nama dicoret tiba-tiba padahal miskin, korban PHK ga dapet perhatian sama sekali, kemensos tlg perbaiki sistem data DTKS",Bansos
"Lapor pak, Pungutan liar oknum Banjarann nongkrong di pos ronda sambil nenggak ciu banyak kehilangan motor dlm sepekan. min tolong sampaikan k babinsa/bhabinkamtibmas",Keamanan/Ketertiban
"Lapor pak, Preman pasar Gedebage beraksi pas subuh warga lagi sholat korban mengalami luka sabetan sajam. mohon pasang lampu jalan dan cctv d titik rawan",Keamanan/Ketertiban
Ada dugaan pemotongan dana bansos oleh oknum di tingkat RT,Bansos
"Jalan alternatif di Cilengkrang bergelombang bikin oleng, bikin velg muntor peang dan ban bocor, tolong pak lurah perhatikan jalan kami",Jalan Rusak
"Warga Bojongmalaka ngeluh Aspal jalan licin dan banyak kerikil tajam, dampaknya bikin mtr sering jatoh tiap malem, jangan nunggu ada korban jiwa baru dibenerin",Jalan Rusak
"Parah bgt Pungutan liar oknum sekitar Cileunyi terjadi terus tiap mlm minggu, lingkungan jadi rawan kriminal tolong segera ditindak",Keamanan/Ketertiban
Min tolong Jalan alternatif daerah Pasirjambu penuh kubangan air sampe bahaya bgt buat anak2 sekolah,Jalan Rusak
"Aspal jalan Majalaya udah abis kikis, tinggal batu2 kerikil doang",Jalan Rusak
"Drainase pemukiman di Cileunyi airnya item pekat dan berbau busuk, akses jalan lumpuh total ga bisa lewat motor, plis buatin tanggul darurat pa kades",Sampah/Banjir
Min plis Penyaluran beras bansos daerah Pangalengan udah 3 bulan belum cair tanpa penjelasan sampe uang bantuan berkurang banyak kepotong pungli,Bansos
"kapan mau ditambal min?, Jalan poros di Dayeuhkolot udah penuh kubangan air bikin mobil ceper sering mentok",Jalan Rusak
"Lapor pak, Genangan cileuncang Katapang baunya nusuk hidun bikin enek warga terpaksa ngungsi ke mushola. tolong keruk selokan min",Sampah/Banjir
"mohon aparat keamanan segera bertindak tegas, Balap liar tengah malam d Cileunyi udah bikin suara bising ga bisa tidur tiap malam bikin lingkungan jadi rawan kriminal",Keamanan/Ketertiban
"Lapor pak, Kartu Keluarga Sejahtera (KKS) Cimenyan keluarga dan timses kades diprioritaskan warga ngeluh ga ada transparansi. mohon penyaluran bansos dilakukan secara transparan",Bansos
Min plis Judi online slot daerah Rancaekek beraksi pas subuh warga lagi sholatt sampe korban mengalami luka sabetan sajam,Keamanan/Ketertiban
"Lapor pak, Kartu Indonesia Sehat (KIS PBI) Cileunyi ada pemotongan dana sepihak oleh oknum RT/RW warga sakit ga bs berobat krn KIS dinonaktifkan. tolong verifikasi lapangan langsung k rmh warga",Bansos
"tolong polres dan polsek rutin patroli malam, Sound horeg hajatan d Ciwidey udah terjadi terus tiap malam minggu bikin pengendara mtr cewek takut lewat situ",Keamanan/Ketertiban
"Bantuan modal UMKM di Pasirjambu saldo di kartu e-warong kosong melompong, warga sakit ga bisa berobat krn KIS dinonaktifkan, plis verifikasi lapangan langsung ke rumah warga",Bansos
"butuh perahu karet buat evakuasi warga, Air selokan di Ibun udah airnya item pekat dan berbau busuk bikin bikin warga gatal-gatal dan batuk",Sampah/Banjir
"Got depan rumah warga d Cileunyi baunya nusuk hidung bikin enek, warga terpaksa ngungsi ke mushola, butuh perah karet buat evakuasi warga",Sampah/Banjir
"Lapor pak, Penyaluran beras bansos Kopo proses birokrasinya dipersulit petugas kelurahan warga sakit ga bsa berobat krn KIS dinonaktifkan. tlong bantu proses pencairan kartu saya min",Bansos
"Lapor pak, Gorong-gorong Majalaya ga surut-surut udah 3 hari barang elektronik pada rusak kerendem. plis pak camat segera tinjau lokasi",Sampah/Banjir
"Warga Baleendah ngeluh Pencurian rmh kosong maksa minta uang keamanan ke pedagang kecil, dampaknya warga jadi was-was dan ga tenang, min tolong sampaikan ke babinsa/bhabinkamtibmas",Keamanan/Ketertiban
"jangan nunggu ada korban jiwa baru dibenerin, Jalan poros di Cicalengka udah banyak jeglongan sewu bikin bikin macet parah tiap pagi",Jalan Rusak
"Parah bgt Kartu Sembako Murah sekitar Dayeuhkolot udah 3 bulan belum cair tanpa penjelasan, korban PHK ga dapet perhatian sama sekali tolong segera ditindak",Bansos
"pliss segera d tindaklanjuti pa, Jalan poros d Pameungpeuk udah aspal hotmix nya ngelotok bikin pemotor sering kaget ngerem mendadak",Jalan Rusak
"Warga Banjaran ngeluh Drainase pemukiman lumpur sedimennya udah tebel bgt, dampaknya akses jalan lumpuh total ga bisa lewat muntor, dinas kebersihan tolong angkut sampahnya",Sampah/Banjir
"Jalan rusak parah di depan pasar Banjaran, macet terus tiap pagi",Jalan Rusak
Ada lubang segede kolam di jalan raya Katapang tolong segera diperbaiki,Jalan Rusak
"Tumpukan sampah di pinggir jalan udah menggunung, minta diangkut",Sampah/Banjir
"Parah banget Kartu Indonesia Sehat (KIS PBI) sekitar Gedebage ada pemotongan dana sepihak oleh oknum RT/RW, warga miskin beneran cuma bisa gigit jari tolong segera ditindak",Bansos
"Warga Cimenyan ngeluh Banjir tahunan mampet total gara-gara plastik dan sampah, dampaknya banyak nyamuk DBD, tlg keruk selokan min",Sampah/Banjir
"tolong tertibkan balap liar pak polisi, Preman pasar di Cicalengka udah makin marak dan meresahkan warga bikin korban mengalami luka sabetan sajam",Keamanan/Ketertiban
Min tlong Jalan raya daerah Gedebage bolong dalem bngt sampe udh brp kali ada korban kecelakaan,Jalan Rusak
"Lapor pak, Kartu Sembako Murah Arjasari ada pemotongan dana sepihak oleh oknum RT/RW lansia kurang mampu kesulitan beli beras. mohon kades/lurah tindak tegas oknum yg motong",Bansos
"Aspal jalan protokol Soreang copot sebagian, ninggalin lubang dalam",Jalan Rusak
"Bantuan modal UMKM di Pasirjambu warga difabel/lansia terlewat ga didata, lansia kurang mampu kesulitan beli beras, tolong dinas sosial audit ulang data penerima",Bansos
"plis pak camat segera tinjau lokasi, Kali dekat pasar d Ciganitri udah meluap ke jalan tiap ujan lebat bikin anak sekolah ga bisa lewat",Sampah/Banjir
"Parah banget Aksi curanmor sekitar Rancaekek sering lempar batu dan botol kaca, pedagang kecil rugi diperas terus tolong segera ditindak",Keamanan/Ketertiban
"Lapor pak, Aksi tawuran remaja Rancaekek terjadi terus tiap mlm minggu pedagang kecil rugi diperas terus. tangkap dan tindak oknum preman meresahkan",Keamanan/Ketertiban
Warga lapor ada penipuan berkedok arisan online yang merugikan banyak orang,Keamanan/Ketertiban
"Warga Arjasari ngeluh Banjir tahunan lumpur sedimennya udah tebel bgt, dampaknya barang elektronik pada rusak kerendem, mohon dinas lingkungan hidupp turun tangan",Sampah/Banjir
"tangkap dan tindak oknum preman meresahkan, Judi online slot di Katapang udah bikin suara bising ga bisa tidur tiap mlem bikin banyak kehilangan motor dlm sepekan",Keamanan/Ketertiban
"tolong pak camat segera tinjau lokasi, Gorong-gorong di Cikoneng udah meluap k jalan tiap ujan lebat bikin motor mogok massal pas nekat nerobos",Sampah/Banjir
Min tolong Kartu Sembako Murah daerah Bojongmalaka aplikasi pendaftaran bansos error dan gbs login sampe korban PHK ga dapet perhatian sama sekali,Bansos
"Warga Pameungpeuk ngeluh Pintu air mampet total gara-gara plastik dan sampah, dampaknya bikin lingkungan kumuh dan bau menyengat, tlg armada truk sampah segera dateng",Sampah/Banjir
"Parah banget Aspal jalan sekitar Ciparay banyak jeglongan sewu, angkot ga mau lewat situ lg tolong segera ditindak",Jalan Rusak
"Akses jalan masuk di Pangalengan rusak berat gak dibenerin, angkot ga mau lewat situ lg, plis pak lurah perhatikan jalan kami",Jalan Rusak
Jln raya dket terminal byk lobang parah udh brp motor jatoh disitu,Jalan Rusak
Tumpukan sampah di pinggir jalan raya udah seminggu ga diangkut,Sampah/Banjir
Min plis Air selokan daerah Rancaekek baunya nusuk hidung bikin enek sampe banyak nyamuk DBD,Sampah/Banjir
"Parah bngt Aspal jalan sekitar Bojongsoang bergelombang bikin oleng, mobil ceper sering mentok tlg segera ditindak",Jalan Rusak
Banjir rob kecil di daerah rendah bikin jalan tergenang lama,Sampah/Banjir
"Warga Sapan ngeluh Paving block jalan banyak jeglongan sewu, dampaknya bahaya bgt buat anak2 sekolah, kapan mau ditambal min?",Jalan Rusak
"Warga Pangalengan ngeluh Aksi curanmor nyolong barang warga secara beruntun, dampaknya lingkungan jadi rawan kriminal, tlong tertibkan balap liar pak polisi",Keamanan/Ketertiban
Min tolong Jalan komplek daerah Nagreg aspal hotmix nya ngelotok sampe bikin motor sering jatoh tiap malem,Jalan Rusak
"Pintu air di Kopo baunya nusuk hidung bikin enek, bikin lingkungan kumuh dan bau menyengat, butuh perahu karet buat evakuasi warga",Sampah/Banjir
Min tolong Jembatan kecil daerah Majalaya banyak jeglongan sewu sampe bikin velg motor peang dan ban bocor,Jalan Rusak
Min tolong Jalur tanjakan daerah Cibiru rusak kena kikis air comberan sampe bikin debu tebel kalo panas,Jalan Rusak
Proses pencairan bansos ribet dan berbelit-belit banget,Bansos
"Parah banget Bantuan modal UMKM sekitar Cimenyan nama dicoret tiba-tiba padahal miskin, warga sakit ga bsa berobat krn KIS dinonaktifkan tolong segera ditindak",Bansos
"Lapor pak, Penyaluran beras bansos Cilengkrang saldo d kartu e-warong kosong melompong anak yatim ga bisa beli perlengkapan sekolah. tolong bantu proses pencairan kartu saya min",Bansos
Min tolong Tikungan jalan daerah Dayeuhkolot amblas separuh badan sampe shockbreaker mtr jebol,Jalan Rusak
"Lapor pak, Bantuan modal UMKM Cicalengka saldo di kartu e-warong kosong melompong anak yatim ga bisa beli perlengkapan sekolah. mohon penyaluran bansos dilakukan secara transparan",Bansos
"mohon pasang lampu jalan dan cctv di titik rawan, Pencurian rumah kosong di Paseh udah maksa minta uang keamanan k pedagang kecil bikin korban mengalami luka sabetan sajam",Keamanan/Ketertiban
"Geng motor ugal-ugalan d Ibun bikin suara bising ga bisa tidur tiap malam, warga jadi was-was dan ga tenang, mohon aparat keamanan segera bertindak tegas",Keamanan/Ketertiban
"plis keruk selokan min, Gorong-gorong d Solokan Jeruk udah bikin bau comberan masuk ke kamar bikin akses jalan lumpuh total ga bs lewat motor",Sampah/Banjir
